aar,status,type,beskrivelse,count(*)
2022,"Utbedring bestilt",Feil/mangler,"Bymøbel - Feil/mangler",54
2022,"Videresendt veidrift",Bommer,"Bommer - Bommer",54
2022,"Videresendt veidrift",Veibane,"Renhold - Veibane",54
2022,Duplikat,Risiko,"Trær - Risiko",53
2022,"Videresendt parkforvaltning",Brekkasje,"Trær - Brekkasje",52
2022,"Arbeid utført",P-plass,"Brøyting/strøing - P-plass",51
2022,Duplikat,Brekkasje,"Trær - Brekkasje",51
2022,Duplikat,Parkeringsskilt,"Skilt - Parkeringsskilt",51
2022,"Utbedring bestilt",Brekkasje,"Trær - Brekkasje",51
2022,"Videresendt arbeidsordre","Lader ikke / ute av drift","Ladestolper - Lader ikke / ute av drift",51
2022,"Arbeid utført",Holdeplass,"Renhold - Holdeplass",50
2022,"Ikke behandlet",Veibane,"Brøyting/strøing - Veibane",50
2022,Saksbehandles,Annet,"Gatelys - Annet",50
2022,"Statens vegvesen","Tur-, gang- og sykkelvei","Hull i veien - Tur-, gang- og sykkelvei",50
2022,"Videresendt veidrift","Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",50
2022,Duplikat,Fortau,"Brøyting/strøing - Fortau",49
2022,"Utbedring bestilt",Sykkelfelt,"Renhold - Sykkelfelt",49
2022,"Arbeid utført","Firkantete lokk som slår","Sluk, kummer og lokk - Firkantete lokk som slår",48
2022,"Arbeid utført","Trafikklys - Mørkt anlegg","Trafikklys - Mørkt anlegg",48
2022,Duplikat,"Fulle søppelkasser","Søppel - Fulle søppelkasser",48
2022,"Aktør for sparkesykkel","Annen forsøpling","Søppel - Annen forsøpling",46
2022,"Videresendt parkforvaltning","Tur-, gang- og sykkelvei","Hull i veien - Tur-, gang- og sykkelvei",45
2022,Fritekst,Parkeringsskilt,"Skilt - Parkeringsskilt",44
2022,"Videresendt parkforvaltning","Overhengende/lave greiner/busker","Trær - Overhengende/lave greiner/busker",44
2022,Duplikat,"Manglende/skadet gatenavnskilt","Skilt - Manglende/skadet gatenavnskilt",43
2022,Saksbehandles,"Midlertidig skilting","Skilt - Midlertidig skilting",43
2022,"Videresendt parkforvaltning","Plen/grøntområder","Gressklipping - Plen/grøntområder",43
2022,Saksbehandles,Veibane,"Hull i veien - Veibane",41
2022,"Utbedring bestilt","Hindrer sikt til skilt/signalanlegg","Beskjæring/trimming av trær/busker - Hindrer sikt til skilt/signalanlegg",41
2022,"Utbedring bestilt","Trafikklys - Annet","Trafikklys - Annet",41
2022,"Videresendt arbeidsordre","Ute av drift","Betalingsautomater - Ute av drift",41
2022,Fritekst,Risiko,"Trær - Risiko",40
2022,"Tagging privat eiendom",Tagging,"Tagging - Tagging",40
2022,"Arbeid utført","Trafikklys - Deteksjon/sensorfeil","Trafikklys - Deteksjon/sensorfeil",39
2022,Duplikat,"Dårlig standard etter gravearbeid","Hull i veien - Dårlig standard etter gravearbeid",38
2022,Duplikat,Veibane,"Hull i veien - Veibane",38
2022,"Ikke behandlet","Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",38
2022,"Statens vegvesen","Tur-, gang- og sykkelvei","Renhold - Tur-, gang- og sykkelvei",38
2022,"Arbeid utført",Holdeplass,"Brøyting/strøing - Holdeplass",37
2022,Duplikat,Feil/mangler,"Bymøbel - Feil/mangler",37
2022,Fritekst,"Dårlig standard etter gravearbeid","Hull i veien - Dårlig standard etter gravearbeid",37
2022,"Videresendt arbeidsordre","Tar ikke kort","Betalingsautomater - Tar ikke kort",37
2022,"Privat eiendom",Brekkasje,"Trær - Brekkasje",36
2022,"Statens vegvesen",Sykkelfelt,"Hull i veien - Sykkelfelt",36
2022,"Statens vegvesen",Tagging,"Tagging - Tagging",36
2022,"Utbedring bestilt","Hindrer sikt til skilt/signalanlegg","Trær - Hindrer sikt til skilt/signalanlegg",36
2022,"Eiendoms og byfornyelsesetaten","Annen forsøpling","Søppel - Annen forsøpling",35
2022,"Statens vegvesen",Fortau,"Brøyting/strøing - Fortau",35
2022,"Videresendt parkforvaltning","Park/friområde","Renhold - Park/friområde",35
2022,"Videresendt parkforvaltning","Ønske om nytt tre","Trær - Ønske om nytt tre",35
2022,"Arbeid utført",Brygge/badetrapp,"Badeplass - Brygge/badetrapp",34
2022,"Privat eiendom","Fulle søppelkasser","Søppel - Fulle søppelkasser",34
2022,"Privat eiendom","Tett/skadet sluk","Sluk, kummer og lokk - Tett/skadet sluk",34
2022,"Statens vegvesen",Veibane,"Hull i veien - Veibane",34
2022,"Arbeid utført",Risiko,"Lekeplass - Risiko",33
2022,"Under behandling","Overhengende/lave greiner/busker","Trær - Overhengende/lave greiner/busker",32
2022,"Utbedring bestilt",Bommer,"Bommer - Bommer",32
2022,"Utbedring bestilt",Fortau,"Hull i veien - Fortau",32
2022,"Vann- og avløpsetaten","Tett/skadet sluk","Sluk, kummer og lokk - Tett/skadet sluk",32
2022,"Videresendt veidrift",Sykkelfelt,"Hull i veien - Sykkelfelt",32
2022,Elvia/Hafslund,Tagging,"Tagging - Tagging",31
2022,Fritekst,Fortau,"Brøyting/strøing - Fortau",31
2022,Saksbehandles,"Dårlig standard etter gravearbeid","Hull i veien - Dårlig standard etter gravearbeid",31
2022,"Arbeid utført","Trafikklys - Trykknapp","Trafikklys - Trykknapp",30
2022,"Gårdeiers ansvar","Farlig avfall","Søppel - Farlig avfall",30
2022,"Ikke behandlet","Fremmed art - Parkslirekne","Problematiske fremmede arter - Parkslirekne",30
2022,"Ikke behandlet",Veibane,"Hull i veien - Veibane",30
2022,"Videresendt parkforvaltning","Fulle søppelkasser","Søppel - Fulle søppelkasser",30
2022,"Arbeid utført",Byggesonen,"Ulovlig overnatting - Byggesonen",29
2022,"Arbeid utført",Renhold,"Bymøbel - Renhold",29
2022,Fritekst,Feil/mangler,"Bymøbel - Feil/mangler",29
2022,"Utbedring bestilt",Holdeplass,"Brøyting/strøing - Holdeplass",29
2022,"Arbeid utført","Skilt i park/friområde","Skilt - Skilt i park/friområde",28
2022,Fritekst,Brekkasje,"Trær - Brekkasje",28
2022,Saksbehandles,Feil/mangler,"Bymøbel - Feil/mangler",28
2022,"Statens vegvesen","Tett/skadet sluk","Sluk, kummer og lokk - Tett/skadet sluk",28
2022,"Statens vegvesen","Trafikklys - Tidsintervall","Trafikklys - Tidsintervall",28
2022,"Arbeid utført",Feil/mangler,"Idrettsutstyr - Feil/mangler",27
2022,"Arbeid utført",P-plass,"Hull i veien - P-plass",27
2022,Duplikat,"Tur-, gang- og sykkelvei","Hull i veien - Tur-, gang- og sykkelvei",27
2022,"Statens vegvesen","Trafikklys - Annet","Trafikklys - Annet",27
2022,Fritekst,"Plen/grøntområder","Gressklipping - Plen/grøntområder",26
2022,"Privat vei",Veibane,"Renhold - Veibane",26
2022,Saksbehandles,"Annen forsøpling","Søppel - Annen forsøpling",26
2022,"Statens vegvesen","Fulle søppelkasser","Holdeplasser - Fulle søppelkasser",26
2022,"Under behandling","Manglende/skadet gatenavnskilt","Skilt - Manglende/skadet gatenavnskilt",26
2022,"Utbedring bestilt",Feil/mangler,"Idrettsutstyr - Feil/mangler",26
2022,"Arbeid utført","Runde lokk som slår","Sluk, kummer og lokk - Runde lokk som slår",25
2022,Duplikat,"Overhengende/lave greiner/busker","Trær - Overhengende/lave greiner/busker",25
2022,Fritekst,Veibane,"Brøyting/strøing - Veibane",25
2022,"Privat vei","Tett/skadet sluk","Sluk, kummer og lokk - Tett/skadet sluk",25
2022,"Utbedring bestilt","Farlig avfall","Søppel - Farlig avfall",25
2022,"Videresendt parkforvaltning","Skilt i park/friområde","Skilt - Skilt i park/friområde",25
2022,"Arbeid utført",Feil/mangler,"Lekeplass - Feil/mangler",24
2022,"Arbeid utført","Overhengende/lave greiner/busker","Beskjæring/trimming av trær/busker - Overhengende/lave greiner/busker",24
2022,"Bydel Grünerløkka","Annen forsøpling","Søppel - Annen forsøpling",24
2022,Fritekst,"Tett/skadet sluk","Sluk, kummer og lokk - Tett/skadet sluk",24
2022,"Oslobygg KF","Annen forsøpling","Søppel - Annen forsøpling",24
2022,"Statens vegvesen",Sykkelfelt,"Renhold - Sykkelfelt",24
2022,"Privat eiendom",Annet,"Gatelys - Annet",23
2022,"Privat eiendom","Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",23
2022,"Statens vegvesen","Fulle søppelkasser","Søppel - Fulle søppelkasser",23
2022,"Utbedring bestilt",Annet,"Gatelys - Annet",23
2022,"Utbedring bestilt","Plen/grøntområder","Gressklipping - Plen/grøntområder",23
2022,"Videresendt parkforvaltning",Feil/mangler,"Lekeplass - Feil/mangler",23
2022,Duplikat,"Park/friområde","Renhold - Park/friområde",22
2022,Fritekst,Tagging,"Tagging - Tagging",22
2022,"Privat vei",Fortau,"Brøyting/strøing - Fortau",22
2022,"Privat vei","Tur-, gang- og sykkelvei","Hull i veien - Tur-, gang- og sykkelvei",22
2022,"Sporveien AS",Holdeplass,"Bymøbel - Holdeplass",22
2022,"Sporveien AS",Tagging,"Tagging - Tagging",22
2022,"Under behandling","Mørk lampe","Gatelys - Mørk lampe",22
2022,"Under behandling",Tagging,"Tagging - Tagging",22
2022,"Utbedring bestilt","Feil/skade på søppelkasse","Søppel - Feil/skade på søppelkasse",22
2022,"Sporveien AS","Søppel på holdeplass","Søppel - Søppel på holdeplass",21
2022,"Videresendt parkforvaltning",Risiko,"Lekeplass - Risiko",21
2022,"Videresendt veidrift","Firkantete lokk som slår","Sluk, kummer og lokk - Firkantete lokk som slår",21
2022,Duplikat,"Ønske om nytt tre","Trær - Ønske om nytt tre",20
2022,"Eiendoms og byfornyelsesetaten",Risiko,"Trær - Risiko",20
2022,"Ikke behandlet","Registrering villfylling/hageavfall","Søppel - Registrering villfylling/hageavfall",20
2022,"Privat eiendom","Overhengende/lave greiner/busker","Trær - Overhengende/lave greiner/busker",20
2022,Saksbehandles,"Overhengende/lave greiner/busker","Trær - Overhengende/lave greiner/busker",20
2022,"Sporveien AS","Fulle søppelkasser","Holdeplasser - Fulle søppelkasser",20
2022,"Statens vegvesen",Fortau,"Hull i veien - Fortau",20
2022,"Under behandling","Mørkt område minst 4 stk","Gatelys - Mørkt område minst 4 stk",20
2022,"Utbedring bestilt",Feil/mangler,"Lekeplass - Feil/mangler",20
2022,"Videresendt veidrift","Tur-, gang- og sykkelvei","Renhold - Tur-, gang- og sykkelvei",20
2022,"Sporveien AS",Holdeplass,"Brøyting/strøing - Holdeplass",19
2022,"Under behandling","Dårlig standard etter gravearbeid","Hull i veien - Dårlig standard etter gravearbeid",19
2022,"Utbedring bestilt",Tagging,"Tagging - Tagging",19
2022,"Bydel Grünerløkka",Feil/mangler,"Bymøbel - Feil/mangler",18
2022,Duplikat,Veibane,"Renhold - Veibane",18
2022,Fritekst,Fortau,"Hull i veien - Fortau",18
2022,"Ikke behandlet",Feil/mangler,"Idrettsutstyr - Feil/mangler",18
2022,"Privat eiendom","Tur-, gang- og sykkelvei","Hull i veien - Tur-, gang- og sykkelvei",18
2022,Saksbehandles,Fortau,"Hull i veien - Fortau",18
2022,Telenor,"Skadet ledning","Gatelys - Skadet ledning",18
2022,"Videresendt parkforvaltning","Tur-, gang- og sykkelvei","Renhold - Tur-, gang- og sykkelvei",18
2022,"Arbeid utført",P-plass,"Renhold - P-plass",17
2022,"Arbeid utført",Skader/mangler,"Toaletter - Skader/mangler",17
2022,"Bydel Grünerløkka","Park/friområde","Renhold - Park/friområde",17
2022,Duplikat,Tagging,"Tagging - Tagging",17
2022,Fritekst,"Tur-, gang- og sykkelvei","Hull i veien - Tur-, gang- og sykkelvei",17
2022,"Ikke behandlet","Fulle søppelkasser","Søppel - Fulle søppelkasser",17
2022,"Ikke behandlet","Skadet/Påkjørt trafikkskilt","Skilt - Skadet/Påkjørt trafikkskilt",17
2022,"Oslobygg KF",Feil/mangler,"Lekeplass - Feil/mangler",17
2022,"Oslobygg KF","Tur-, gang og sykkelvei","Brøyting/strøing - Tur-, gang og sykkelvei",17
2022,"Privat eiendom",Fortau,"Hull i veien - Fortau",17
2022,"Privat eiendom","Park/friområde","Renhold - Park/friområde",17
2022,"Privat eiendom",Veibane,"Hull i veien - Veibane",17
2022,"Privat vei","Dårlig standard etter gravearbeid","Hull i veien - Dårlig standard etter gravearbeid",17
2022,Saksbehandles,"Tur-, gang- og sykkelvei","Hull i veien - Tur-, gang- og sykkelvei",17
2022,"Sporveien AS","Fulle søppelkasser","Søppel - Fulle søppelkasser",17
2022,"Statens vegvesen","Overhengende/lave greiner/busker","Trær - Overhengende/lave greiner/busker",17
2022,"Under behandling","Annen forsøpling","Søppel - Annen forsøpling",17
2022,"Utbedring bestilt","Skadet armatur / lampe","Gatelys - Skadet armatur / lampe",17
2022,"Videresendt parkforvaltning","Greiner skygger for belysning","Trær - Greiner skygger for belysning",17
2022,Duplikat,"Plen/grøntområder","Gressklipping - Plen/grøntområder",16
2022,"Feilparkert kjøretøy/elsparkesykkel","Annen forsøpling","Søppel - Annen forsøpling",16
2022,"Feilparkert kjøretøy/elsparkesykkel",Parkeringsskilt,"Skilt - Parkeringsskilt",16
2022,"Gårdeiers ansvar",Fortau,"Renhold - Fortau",16
2022,Saksbehandles,"Trafikklys - Annet","Trafikklys - Annet",16
2022,"Utbedring bestilt","Firkantete lokk som slår","Sluk, kummer og lokk - Firkantete lokk som slår",16
2022,Duplikat,Blunker,"Gatelys - Blunker",15
2022,Duplikat,"Tett/skadet sluk","Sluk, kummer og lokk - Tett/skadet sluk",15
2022,Fritekst,"Trafikklys - Annet","Trafikklys - Annet",15
2022,"Privat eiendom","Farlig avfall","Søppel - Farlig avfall",15
2022,"Utbedring bestilt","Manglende/skadet gatenavnskilt","Skilt - Manglende/skadet gatenavnskilt",15
2022,"Utbedring bestilt","Trafikklys - Deteksjon/sensorfeil","Trafikklys - Deteksjon/sensorfeil",15
2022,"Utbedring bestilt","Tur-, gang- og sykkelvei","Hull i veien - Tur-, gang- og sykkelvei",15
2022,"Videresendt veidrift","Fulle søppelkasser","Holdeplasser - Fulle søppelkasser",15
2022,"Videresendt veidrift","Hindrer sikt til skilt/signalanlegg","Trær - Hindrer sikt til skilt/signalanlegg",15
2022,"Videresendt veidrift",Risiko,"Trær - Risiko",15
2022,"Arbeid utført",Renhold,"Toaletter - Renhold",14
2022,"Arbeid utført",Turveiskilt,"Skilt - Turveiskilt",14
2022,"Bydel St.Hanshaugen","Annen forsøpling","Søppel - Annen forsøpling",14
2022,"Bydel St.Hanshaugen","Park/friområde","Renhold - Park/friområde",14
2022,Duplikat,P-plass,"Brøyting/strøing - P-plass",14
2022,Elvia/Hafslund,Risiko,"Trær - Risiko",14
2022,Fritekst,Bommer,"Bommer - Bommer",14
2022,Fritekst,"Mørk lampe","Gatelys - Mørk lampe",14
2022,Fritekst,"Overhengende/lave greiner/busker","Trær - Overhengende/lave greiner/busker",14
2022,Fritekst,"Registrering villfylling/hageavfall","Søppel - Registrering villfylling/hageavfall",14
2022,"Ikke behandlet",Blunker,"Gatelys - Blunker",14
2022,"Privat eiendom","Plen/grøntområder","Gressklipping - Plen/grøntområder",14
2022,"Privat vei","Annen forsøpling","Søppel - Annen forsøpling",14
2022,"Sporveien AS",Holdeplass,"Renhold - Holdeplass",14
2022,"Sporveien AS",Veibane,"Hull i veien - Veibane",14
2022,"Statens vegvesen",Annet,"Gatelys - Annet",14
2022,"Statens vegvesen","Trafikklys - Deteksjon/sensorfeil","Trafikklys - Deteksjon/sensorfeil",14
2022,Statsbygg,"Annen forsøpling","Søppel - Annen forsøpling",14
2022,"Under behandling",Risiko,"Trær - Risiko",14
2022,"Utbedring bestilt",Parkeringsskilt,"Skilt - Parkeringsskilt",14
2022,"Utbedring bestilt","Søppel på holdeplass","Søppel - Søppel på holdeplass",14
2022,"Utbedring bestilt","Trafikklys - Tidsintervall","Trafikklys - Tidsintervall",14
2022,"Videresendt arbeidsordre","Tar ikke mynt","Betalingsautomater - Tar ikke mynt",14
